"","Store","Weekly_Sales","Holiday_Flag","Temperature","Fuel_Price","CPI","Unemployment","Week"
50,1.0,1327405.42,0.0,44.04,3.016,211.8272343,7.742,3.0
51,1.0,1316899.31,0.0,43.83,3.01,212.1970577,7.742,4.0
52,1.0,1606629.58,0.0,42.27,2.989,212.5668812,7.742,5.0
53,1.0,1649614.93,1.0,36.39,3.022,212.9367046,7.742,6.0
54,1.0,1686842.78,0.0,57.36,3.045,213.2478853,7.742,7.0
55,1.0,1456800.28,0.0,62.9,3.065,213.535609,7.742,8.0
56,1.0,1636263.41,0.0,59.58,3.288,213.8233327,7.742,9.0
57,1.0,1553191.63,0.0,53.56,3.459,214.1110564,7.742,10.0
58,1.0,1576818.06,0.0,62.76,3.488,214.3627114,7.742,11.0
59,1.0,1541102.38,0.0,69.97,3.473,214.5999389,7.742,12.0
60,1.0,1495064.75,0.0,59.17,3.524,214.8371664,7.682,13.0
61,1.0,1614259.35,0.0,67.84,3.622,215.0743939,7.682,14.0
62,1.0,1559889.0,0.0,71.27,3.743,215.2918561,7.682,15.0
63,1.0,1564819.81,0.0,72.99,3.807,215.4599053,7.682,16.0
64,1.0,1455090.69,0.0,72.03,3.81,215.6279544,7.682,17.0
65,1.0,1629391.28,0.0,64.61,3.906,215.7960035,7.682,18.0
66,1.0,1604775.58,0.0,75.64,3.899,215.9640526,7.682,19.0
67,1.0,1428218.27,0.0,67.63,3.907,215.7339202,7.682,20.0
68,1.0,1466046.67,0.0,77.72,3.786,215.5037878,7.682,21.0
69,1.0,1635078.41,0.0,83.0,3.699,215.2736553,7.682,22.0
70,1.0,1588948.32,0.0,83.13,3.648,215.0435229,7.682,23.0
71,1.0,1532114.86,0.0,86.41,3.637,214.9980596,7.682,24.0
72,1.0,1438830.15,0.0,83.58,3.594,215.0910982,7.682,25.0
73,1.0,1488538.09,0.0,85.55,3.524,215.1841368,7.962,26.0
74,1.0,1534849.64,0.0,85.83,3.48,215.2771754,7.962,27.0
75,1.0,1455119.97,0.0,88.54,3.575,215.3611087,7.962,28.0
76,1.0,1396926.82,0.0,85.77,3.651,215.4222784,7.962,29.0
77,1.0,1352219.79,0.0,86.83,3.682,215.4834482,7.962,30.0
78,1.0,1624383.75,0.0,91.65,3.684,215.544618,7.962,31.0
79,1.0,1525147.09,0.0,90.76,3.638,215.6057878,7.962,32.0
80,1.0,1530761.43,0.0,89.94,3.554,215.6693107,7.962,33.0
81,1.0,1464693.46,0.0,87.96,3.523,215.7332258,7.962,34.0
82,1.0,1550229.22,0.0,87.83,3.533,215.7971409,7.962,35.0
83,1.0,1540471.24,1.0,76.0,3.546,215.861056,7.962,36.0
84,1.0,1514259.78,0.0,79.94,3.526,216.0410526,7.962,37.0
85,1.0,1380020.27,0.0,75.8,3.467,216.3758246,7.962,38.0
86,1.0,1394561.83,0.0,79.69,3.355,216.7105965,7.962,39.0
87,1.0,1630989.95,0.0,69.31,3.285,217.0453684,7.866,40.0
88,1.0,1493525.93,0.0,71.74,3.274,217.3552733,7.866,41.0
89,1.0,1502562.78,0.0,63.71,3.353,217.5159762,7.866,42.0
90,1.0,1445249.09,0.0,66.57,3.372,217.6766791,7.866,43.0
91,1.0,1697229.58,0.0,54.98,3.332,217.837382,7.866,44.0
92,1.0,1594938.89,0.0,59.11,3.297,217.9980849,7.866,45.0
93,1.0,1539483.7,0.0,62.25,3.308,218.2205088,7.866,46.0
94,1.0,2033320.66,1.0,60.14,3.236,218.4676211,7.866,47.0
95,1.0,1584083.95,0.0,48.91,3.172,218.7147333,7.866,48.0
96,1.0,1799682.38,0.0,43.93,3.158,218.9618456,7.866,49.0
97,1.0,1881176.67,0.0,51.63,3.159,219.1794533,7.866,50.0
98,1.0,2270188.99,0.0,47.96,3.112,219.3577216,7.866,51.0
99,1.0,1497462.72,1.0,44.55,3.129,219.5359898,7.866,52.0
100,1.0,1550369.92,0.0,49.01,3.157,219.7142581,7.348,1.0
101,1.0,1459601.17,0.0,48.53,3.261,219.8925263,7.348,2.0
102,1.0,1394393.84,0.0,54.11,3.268,219.9856893,7.348,3.0
103,1.0,1319325.59,0.0,54.26,3.29,220.0788523,7.348,4.0
104,1.0,1636339.65,0.0,56.55,3.36,220.1720153,7.348,5.0
105,1.0,1802477.43,1.0,48.02,3.409,220.2651783,7.348,6.0
106,1.0,1819870.0,0.0,45.32,3.51,220.4257586,7.348,7.0
107,1.0,1539387.83,0.0,57.25,3.555,220.636902,7.348,8.0
108,1.0,1688420.76,0.0,60.96,3.63,220.8480454,7.348,9.0
109,1.0,1675431.16,0.0,58.76,3.669,221.0591887,7.348,10.0
110,1.0,1677472.78,0.0,64.74,3.734,221.2118132,7.348,11.0
111,1.0,1511068.07,0.0,65.93,3.787,221.2864126,7.348,12.0
112,1.0,1649604.63,0.0,67.61,3.845,221.3610119,7.348,13.0
113,1.0,1899676.88,0.0,70.43,3.891,221.4356112,7.143,14.0
114,1.0,1621031.7,0.0,69.07,3.891,221.5102105,7.143,15.0
115,1.0,1521577.87,0.0,66.76,3.877,221.5640737,7.143,16.0
116,1.0,1468928.37,0.0,67.23,3.814,221.6179368,7.143,17.0
117,1.0,1684519.99,0.0,75.55,3.749,221.6718,7.143,18.0
118,1.0,1611096.05,0.0,73.77,3.688,221.7256632,7.143,19.0
119,1.0,1595901.87,0.0,70.33,3.63,221.742674,7.143,20.0
120,1.0,1555444.55,0.0,77.22,3.561,221.744944,7.143,21.0
121,1.0,1624477.58,0.0,77.95,3.501,221.7472139,7.143,22.0
122,1.0,1697230.96,0.0,78.3,3.452,221.7494839,7.143,23.0
123,1.0,1630607.0,0.0,79.35,3.393,221.7626421,7.143,24.0
124,1.0,1527845.81,0.0,78.39,3.346,221.8030211,7.143,25.0
125,1.0,1540421.49,0.0,84.88,3.286,221.8434,7.143,26.0
126,1.0,1769854.16,0.0,81.57,3.227,221.8837789,6.908,27.0
127,1.0,1527014.04,0.0,77.12,3.256,221.9241579,6.908,28.0
128,1.0,1497954.76,0.0,80.42,3.311,221.9327267,6.908,29.0
129,1.0,1439123.71,0.0,82.66,3.407,221.9412954,6.908,30.0
130,1.0,1631135.79,0.0,86.11,3.417,221.9498642,6.908,31.0
131,1.0,1592409.97,0.0,85.05,3.494,221.9584329,6.908,32.0
132,1.0,1597868.05,0.0,84.85,3.571,222.0384109,6.908,33.0
133,1.0,1494122.38,0.0,77.66,3.62,222.1719457,6.908,34.0
134,1.0,1582083.4,0.0,80.49,3.638,222.3054805,6.908,35.0
135,1.0,1661767.33,1.0,83.96,3.73,222.4390153,6.908,36.0
136,1.0,1517428.87,0.0,74.97,3.717,222.5820193,6.908,37.0
137,1.0,1506126.06,0.0,69.87,3.721,222.7818386,6.908,38.0
138,1.0,1437059.26,0.0,76.08,3.666,222.9816579,6.908,39.0
139,1.0,1670785.97,0.0,68.55,3.617,223.1814772,6.573,40.0
140,1.0,1573072.81,0.0,62.99,3.601,223.3812965,6.573,41.0
141,1.0,1508068.77,0.0,67.97,3.594,223.4257233,6.573,42.0
142,1.0,1493659.74,0.0,69.16,3.506,223.4442513,6.573,43.0
143,2.0,2136989.46,0.0,40.19,2.572,210.7526053,8.324,5.0
144,2.0,2137809.5,1.0,38.49,2.548,210.8979935,8.324,6.0
145,2.0,2124451.54,0.0,39.69,2.514,210.9451605,8.324,7.0
146,2.0,1865097.27,0.0,46.1,2.561,210.9759573,8.324,8.0
147,2.0,1991013.13,0.0,47.17,2.625,211.0067542,8.324,9.0
148,2.0,1990483.78,0.0,57.56,2.667,211.037551,8.324,10.0
149,2.0,1946070.88,0.0,54.52,2.72,210.8733316,8.324,11.0
150,2.0,1750197.81,0.0,51.26,2.732,210.6766095,8.324,12.0
151,2.0,2066187.72,0.0,63.27,2.719,210.4798874,8.2,13.0
152,2.0,1954689.21,0.0,65.41,2.77,210.2831653,8.2,14.0
153,2.0,1874957.94,0.0,68.07,2.808,210.1495463,8.2,15.0
154,2.0,1821990.93,0.0,65.11,2.795,210.1000648,8.2,16.0
155,2.0,1802450.29,0.0,66.98,2.78,210.0505833,8.2,17.0
156,2.0,2042581.71,0.0,71.28,2.835,210.0011018,8.2,18.0
157,2.0,1880752.36,0.0,73.31,2.854,209.9984585,8.2,19.0
158,2.0,1896937.1,0.0,74.83,2.826,210.2768443,8.2,20.0
159,2.0,1957113.89,0.0,81.13,2.759,210.5552301,8.2,21.0
160,2.0,2102539.93,0.0,81.81,2.705,210.833616,8.2,22.0
161,2.0,2025538.76,0.0,83.4,2.668,211.1120018,8.2,23.0
162,2.0,2001636.96,0.0,85.81,2.637,211.1096543,8.2,24.0
163,2.0,1939927.09,0.0,86.26,2.653,210.9950134,8.2,25.0
164,2.0,2003940.64,0.0,82.74,2.669,210.8803726,8.099,26.0
165,2.0,1880902.62,0.0,82.59,2.642,210.7657317,8.099,27.0
166,2.0,1845879.79,0.0,85.32,2.623,210.7577954,8.099,28.0
167,2.0,1781717.71,0.0,87.66,2.608,210.8921319,8.099,29.0
168,2.0,1804246.16,0.0,83.49,2.64,211.0264684,8.099,30.0
169,2.0,1991909.98,0.0,89.53,2.627,211.1608049,8.099,31.0
170,2.0,1895601.05,0.0,89.05,2.692,211.2951413,8.099,32.0
171,2.0,1964335.23,0.0,88.7,2.664,211.2596586,8.099,33.0
172,2.0,1863840.49,0.0,87.12,2.619,211.2241759,8.099,34.0
173,2.0,1904608.09,0.0,81.83,2.577,211.1886931,8.099,35.0
174,2.0,1839128.83,1.0,79.09,2.565,211.1532104,8.099,36.0
175,2.0,1793903.6,0.0,82.05,2.582,211.1806415,8.099,37.0
176,2.0,1724557.22,0.0,81.79,2.624,211.2552578,8.099,38.0
177,2.0,1827440.43,0.0,69.24,2.603,211.3298742,8.163,39.0
178,2.0,1849921.44,0.0,63.19,2.633,211.4044906,8.163,40.0
179,2.0,1794355.49,0.0,65.8,2.72,211.4713286,8.163,41.0
180,2.0,1737947.64,0.0,68.5,2.725,211.5187208,8.163,42.0
181,2.0,1802755.11,0.0,66.24,2.716,211.5661131,8.163,43.0
182,2.0,1939061.41,0.0,57.85,2.689,211.6135053,8.163,44.0
183,2.0,1916812.74,0.0,59.69,2.728,211.6608975,8.163,45.0
184,2.0,1956739.17,0.0,50.81,2.771,211.5470304,8.163,46.0
185,2.0,2658725.29,1.0,62.98,2.735,211.4062867,8.163,47.0
186,2.0,2015781.27,0.0,49.33,2.708,211.265543,8.163,48.0
187,2.0,2378726.55,0.0,45.5,2.843,211.1247993,8.163,49.0
188,2.0,2609166.75,0.0,47.55,2.869,211.0645458,8.163,50.0
189,2.0,3436007.68,0.0,49.97,2.886,211.0646599,8.163,51.0
190,2.0,1750434.55,1.0,47.3,2.943,211.064774,8.163,52.0
191,2.0,1758050.79,0.0,44.69,2.976,211.0648881,8.028,1.0
192,2.0,1744193.58,0.0,33.02,2.983,211.1176713,8.028,2.0
193,2.0,1751384.9,0.0,41.4,3.016,211.4864691,8.028,3.0
194,2.0,1695371.68,0.0,42.83,3.01,211.8552668,8.028,4.0
195,2.0,1929346.23,0.0,38.25,2.989,212.2240646,8.028,5.0
196,2.0,2168041.61,1.0,33.19,3.022,212.5928624,8.028,6.0
197,2.0,2080884.82,0.0,57.83,3.045,212.9033115,8.028,7.0
198,2.0,1833511.08,0.0,60.8,3.065,213.190421,8.028,8.0
199,2.0,1981607.78,0.0,57.77,3.288,213.4775305,8.028,9.0
200,2.0,1879107.31,0.0,52.7,3.459,213.7646401,8.028,10.0
201,2.0,1902557.66,0.0,62.32,3.488,214.0156238,8.028,11.0
202,2.0,1766162.05,0.0,69.42,3.473,214.2521573,8.028,12.0
203,2.0,1800171.36,0.0,55.43,3.524,214.4886908,7.931,13.0
204,2.0,1847552.61,0.0,67.0,3.622,214.7252242,7.931,14.0
205,2.0,1856467.84,0.0,69.48,3.743,214.9420631,7.931,15.0
206,2.0,1886339.6,0.0,69.39,3.807,215.1096657,7.931,16.0
207,2.0,1745545.28,0.0,69.21,3.81,215.2772683,7.931,17.0
208,2.0,1837743.6,0.0,61.48,3.906,215.4448709,7.931,18.0
209,2.0,1838513.07,0.0,74.61,3.899,215.6124735,7.931,19.0
210,2.0,1688281.86,0.0,67.14,3.907,215.3834778,7.931,20.0
211,2.0,1797732.56,0.0,76.42,3.786,215.1544822,7.931,21.0
212,2.0,1933756.21,0.0,83.07,3.699,214.9254865,7.931,22.0
213,2.0,1929153.16,0.0,83.4,3.648,214.6964908,7.931,23.0
214,2.0,1953771.99,0.0,86.53,3.637,214.6513538,7.931,24.0
215,2.0,1790925.8,0.0,85.17,3.594,214.7441108,7.931,25.0
216,2.0,1866243.0,0.0,85.69,3.524,214.8368678,7.852,26.0
217,2.0,1853161.99,0.0,87.7,3.48,214.9296249,7.852,27.0
218,2.0,1785187.29,0.0,89.83,3.575,215.0134426,7.852,28.0
219,2.0,1743816.41,0.0,89.34,3.651,215.0749122,7.852,29.0
220,2.0,1680693.06,0.0,90.07,3.682,215.1363819,7.852,30.0
221,2.0,1876704.26,0.0,93.34,3.684,215.1978515,7.852,31.0
222,2.0,1812768.26,0.0,91.58,3.638,215.2593211,7.852,32.0
223,2.0,1844094.59,0.0,89.86,3.554,215.3229307,7.852,33.0
224,2.0,1821139.91,0.0,90.45,3.523,215.386897,7.852,34.0
225,2.0,1809119.7,0.0,89.64,3.533,215.4508632,7.852,35.0
226,2.0,1748000.65,1.0,77.97,3.546,215.5148295,7.852,36.0
227,2.0,1691439.52,0.0,78.85,3.526,215.6944378,7.852,37.0
228,2.0,1669299.78,0.0,75.58,3.467,216.0282356,7.852,38.0
229,2.0,1650394.44,0.0,78.14,3.355,216.3620333,7.852,39.0
230,2.0,1837553.43,0.0,69.92,3.285,216.6958311,7.441,40.0
231,2.0,1743882.19,0.0,71.67,3.274,217.0048261,7.441,41.0
232,2.0,1834680.25,0.0,64.53,3.353,217.1650042,7.441,42.0
233,2.0,1769296.25,0.0,65.87,3.372,217.3251824,7.441,43.0
234,2.0,1959707.9,0.0,55.53,3.332,217.4853605,7.441,44.0
235,2.0,1920725.15,0.0,59.33,3.297,217.6455387,7.441,45.0
236,2.0,1902762.5,0.0,62.01,3.308,217.8670218,7.441,46.0
237,2.0,2614202.3,1.0,56.36,3.236,218.1130269,7.441,47.0
238,2.0,1954952.0,0.0,48.74,3.172,218.3590319,7.441,48.0
239,2.0,2290549.32,0.0,41.76,3.158,218.605037,7.441,49.0
240,2.0,2432736.52,0.0,50.13,3.159,218.8217928,7.441,50.0
241,2.0,3224369.8,0.0,46.66,3.112,218.9995495,7.441,51.0
242,2.0,1874226.52,1.0,44.57,3.129,219.1773063,7.441,52.0
243,2.0,1799520.14,0.0,46.75,3.157,219.355063,7.057,1.0
244,2.0,1744725.48,0.0,45.99,3.261,219.5328198,7.057,2.0
245,2.0,1711769.11,0.0,51.7,3.268,219.6258417,7.057,3.0
246,2.0,1660906.14,0.0,50.5,3.29,219.7188636,7.057,4.0
247,2.0,1935299.94,0.0,55.21,3.36,219.8118854,7.057,5.0
248,2.0,2103322.68,1.0,46.98,3.409,219.9049073,7.057,6.0
249,2.0,2196688.46,0.0,43.82,3.51,220.0651993,7.057,7.0
250,2.0,1861802.7,0.0,54.63,3.555,220.275944,7.057,8.0
251,2.0,1952555.66,0.0,58.79,3.63,220.4866886,7.057,9.0
252,2.0,1937628.26,0.0,57.11,3.669,220.6974332,7.057,10.0
253,2.0,1976082.13,0.0,63.68,3.734,220.8498468,7.057,11.0
254,2.0,1790439.16,0.0,64.01,3.787,220.9244858,7.057,12.0
255,2.0,1857480.84,0.0,66.83,3.845,220.9991248,7.057,13.0
256,2.0,2129035.91,0.0,68.43,3.891,221.0737638,6.891,14.0
257,2.0,1935869.1,0.0,68.08,3.891,221.1484028,6.891,15.0
258,2.0,1847344.45,0.0,65.69,3.877,221.2021074,6.891,16.0
259,2.0,1764133.09,0.0,67.2,3.814,221.255812,6.891,17.0
260,2.0,1923957.09,0.0,76.73,3.749,221.3095166,6.891,18.0
261,2.0,1917520.99,0.0,73.87,3.688,221.3632212,6.891,19.0
262,2.0,2000940.67,0.0,71.27,3.63,221.380331,6.891,20.0
263,2.0,1912791.09,0.0,78.19,3.561,221.3828029,6.891,21.0
264,2.0,1910092.37,0.0,78.38,3.501,221.3852748,6.891,22.0
265,2.0,2010216.49,0.0,78.69,3.452,221.3877467,6.891,23.0
266,2.0,1962924.3,0.0,80.56,3.393,221.4009901,6.891,24.0
267,2.0,1887733.21,0.0,81.04,3.346,221.4411622,6.891,25.0
268,2.0,1881046.12,0.0,86.32,3.286,221.4813343,6.891,26.0
269,2.0,2041507.4,0.0,84.2,3.227,221.5215064,6.565,27.0
270,2.0,1830075.13,0.0,80.17,3.256,221.5616784,6.565,28.0
271,2.0,1819666.46,0.0,83.23,3.311,221.5701123,6.565,29.0
272,2.0,1757923.88,0.0,86.37,3.407,221.5785461,6.565,30.0
273,2.0,1946104.64,0.0,90.22,3.417,221.5869799,6.565,31.0
274,2.0,1866719.96,0.0,88.55,3.494,221.5954138,6.565,32.0
275,2.0,1928016.01,0.0,84.79,3.571,221.6751459,6.565,33.0
276,2.0,1876788.15,0.0,76.91,3.62,221.8083518,6.565,34.0
277,2.0,1947083.3,0.0,82.64,3.638,221.9415576,6.565,35.0
278,2.0,1898777.07,1.0,87.65,3.73,222.0747635,6.565,36.0
279,2.0,1814806.63,0.0,75.88,3.717,222.2174395,6.565,37.0
280,2.0,1829415.67,0.0,71.09,3.721,222.4169362,6.565,38.0
281,2.0,1746470.56,0.0,79.45,3.666,222.6164329,6.565,39.0
282,2.0,1998321.04,0.0,70.27,3.617,222.8159296,6.17,40.0
283,2.0,1900745.13,0.0,60.97,3.601,223.0154263,6.17,41.0
284,2.0,1847990.41,0.0,68.08,3.594,223.0598077,6.17,42.0
285,2.0,1834458.35,0.0,69.79,3.506,223.0783366,6.17,43.0
286,3.0,461622.22,0.0,45.71,2.572,214.4248812,7.368,5.0
287,3.0,420728.96,1.0,47.93,2.548,214.5747916,7.368,6.0
288,3.0,421642.19,0.0,47.07,2.514,214.6198868,7.368,7.0
289,3.0,407204.86,0.0,52.05,2.561,214.6475127,7.368,8.0
290,3.0,415202.04,0.0,53.04,2.625,214.6751386,7.368,9.0
291,3.0,384200.69,0.0,63.08,2.667,214.7027646,7.368,10.0
292,3.0,375328.59,0.0,60.42,2.72,214.5301219,7.368,11.0
293,3.0,359949.27,0.0,57.06,2.732,214.3241011,7.368,12.0
294,3.0,423294.4,0.0,65.56,2.719,214.1180803,7.343,13.0
295,3.0,415870.28,0.0,68.0,2.77,213.9120595,7.343,14.0
296,3.0,354993.26,0.0,66.98,2.808,213.7726889,7.343,15.0
297,3.0,339976.65,0.0,67.87,2.795,213.7221852,7.343,16.0
298,3.0,361248.39,0.0,70.24,2.78,213.6716815,7.343,17.0
299,3.0,399323.86,0.0,73.47,2.835,213.6211778,7.343,18.0
300,3.0,384357.94,0.0,77.18,2.854,213.6196139,7.343,19.0
301,3.0,343763.17,0.0,75.81,2.826,213.9116886,7.343,20.0
302,3.0,350089.23,0.0,78.6,2.759,214.2037634,7.343,21.0
303,3.0,396968.8,0.0,78.53,2.705,214.4958382,7.343,22.0
304,3.0,355017.09,0.0,82.1,2.668,214.787913,7.343,23.0
305,3.0,364076.85,0.0,83.52,2.637,214.7858259,7.343,24.0
306,3.0,357346.48,0.0,83.79,2.653,214.6660741,7.343,25.0
307,3.0,381151.72,0.0,82.2,2.669,214.5463222,7.346,26.0
308,3.0,349214.18,0.0,81.75,2.642,214.4265704,7.346,27.0
309,3.0,352728.78,0.0,84.32,2.623,214.4176476,7.346,28.0
310,3.0,352864.49,0.0,83.32,2.608,214.5564968,7.346,29.0
311,3.0,347955.05,0.0,82.04,2.64,214.695346,7.346,30.0
312,3.0,402635.76,0.0,85.13,2.627,214.8341952,7.346,31.0
313,3.0,339597.38,0.0,86.74,2.692,214.9730444,7.346,32.0
314,3.0,351728.21,0.0,88.02,2.664,214.9314191,7.346,33.0
315,3.0,362134.09,0.0,86.15,2.619,214.8897938,7.346,34.0
316,3.0,366473.97,0.0,84.16,2.577,214.8481685,7.346,35.0
317,3.0,352260.97,1.0,80.84,2.565,214.8065431,7.346,36.0
318,3.0,363064.64,0.0,82.36,2.582,214.8322484,7.346,37.0
319,3.0,355626.87,0.0,76.9,2.624,214.9084516,7.346,38.0
320,3.0,358784.1,0.0,73.6,2.603,214.9846548,7.564,39.0
321,3.0,395107.35,0.0,66.99,2.633,215.060858,7.564,40.0
322,3.0,345584.39,0.0,69.71,2.72,215.1293114,7.564,41.0
323,3.0,348895.98,0.0,71.64,2.725,215.17839,7.564,42.0
324,3.0,348591.74,0.0,72.04,2.716,215.2274686,7.564,43.0
325,3.0,423175.56,0.0,62.94,2.689,215.2765472,7.564,44.0
326,3.0,386635.03,0.0,62.79,2.728,215.3256258,7.564,45.0
327,3.0,372545.32,0.0,57.72,2.771,215.2074519,7.564,46.0
328,3.0,565567.84,1.0,68.71,2.735,215.0614025,7.564,47.0
329,3.0,476420.77,0.0,53.76,2.708,214.9153531,7.564,48.0
330,3.0,467642.03,0.0,51.13,2.843,214.7693037,7.564,49.0
331,3.0,498159.39,0.0,52.2,2.869,214.704919,7.564,50.0
332,3.0,605990.41,0.0,57.16,2.886,214.7017828,7.564,51.0
333,3.0,382677.76,1.0,53.2,2.943,214.6986466,7.564,52.0
334,3.0,378241.34,0.0,53.35,2.976,214.6955104,7.551,1.0
335,3.0,381061.1,0.0,44.76,2.983,214.7470729,7.551,2.0
336,3.0,350876.7,0.0,50.74,3.016,215.1268275,7.551,3.0
337,3.0,364866.24,0.0,48.71,3.01,215.5065821,7.551,4.0
338,3.0,438516.53,0.0,45.95,2.989,215.8863367,7.551,5.0
339,3.0,430526.21,1.0,43.57,3.022,216.2660913,7.551,6.0
340,3.0,432782.1,0.0,61.58,3.045,216.5843571,7.551,7.0
341,3.0,397211.19,0.0,67.4,3.065,216.8780275,7.551,8.0
342,3.0,437084.51,0.0,65.11,3.288,217.1716979,7.551,9.0
343,3.0,404753.3,0.0,61.29,3.459,217.4653683,7.551,10.0
344,3.0,392109.51,0.0,69.47,3.488,217.7235226,7.551,11.0
345,3.0,380683.67,0.0,72.94,3.473,217.9674705,7.551,12.0
346,3.0,374556.08,0.0,68.76,3.524,218.2114184,7.574,13.0
347,3.0,384075.31,0.0,72.55,3.622,218.4553663,7.574,14.0
348,3.0,366250.69,0.0,75.88,3.743,218.6788642,7.574,15.0
349,3.0,391860.04,0.0,76.91,3.807,218.851237,7.574,16.0
350,3.0,367405.4,0.0,78.69,3.81,219.0236099,7.574,17.0
351,3.0,413042.12,0.0,69.45,3.906,219.1959827,7.574,18.0
352,3.0,386312.68,0.0,79.87,3.899,219.3683556,7.574,19.0
353,3.0,364603.13,0.0,75.79,3.907,219.127216,7.574,20.0
354,3.0,369350.6,0.0,84.41,3.786,218.8860765,7.574,21.0
355,3.0,394507.84,0.0,84.29,3.699,218.6449369,7.574,22.0
356,3.0,391638.75,0.0,84.84,3.648,218.4037974,7.574,23.0
357,3.0,403423.34,0.0,86.96,3.637,218.3551748,7.574,24.0
358,3.0,385520.71,0.0,84.94,3.594,218.45094,7.574,25.0
359,3.0,368962.72,0.0,85.1,3.524,218.5467052,7.567,26.0
360,3.0,395146.24,0.0,85.38,3.48,218.6424704,7.567,27.0
361,3.0,373454.33,0.0,87.14,3.575,218.7275216,7.567,28.0
362,3.0,360617.37,0.0,86.19,3.651,218.7857881,7.567,29.0
363,3.0,345381.29,0.0,88.07,3.682,218.8440545,7.567,30.0
364,3.0,409981.25,0.0,88.45,3.684,218.9023209,7.567,31.0
365,3.0,380376.85,0.0,88.88,3.638,218.9605873,7.567,32.0
366,3.0,379716.91,0.0,88.44,3.554,219.023271,7.567,33.0
367,3.0,366367.55,0.0,87.67,3.523,219.0866908,7.567,34.0
